_date,total_views,unique_views
2021-10-21,3,2
2021-10-22,34,3
2021-10-23,3,1
2021-10-24,25,2
2021-10-25,97,6
2021-10-26,59,2
2021-10-27,28,5
2021-10-28,12,4
2021-10-29,9,4
2021-10-30,5,2
2021-11-01,15,7
2021-11-02,18,3
2021-11-03,16,7
2021-11-04,7,5
2021-11-05,2,2
2021-11-07,6,2
2021-11-08,4,3
2021-11-09,28,6
2021-11-10,19,7
2021-11-11,42,7
2021-11-12,4,2
2021-11-13,2,1
2021-11-15,42,15
2021-11-16,12,11
2021-11-18,4,4
2021-11-19,1,1
2021-11-20,6,5
2021-11-21,6,4
2021-11-22,6,5
2021-11-23,10,5
2021-11-24,5,5
2021-11-25,1,1
2021-11-26,3,3
2021-11-27,1,1
2021-11-29,7,4
2021-11-30,11,6
2021-12-01,2,2
2021-12-02,4,4
2021-12-03,1,1
2021-12-05,1,1
2021-12-06,2,2
2021-12-07,73,7
2021-12-08,12,5
2021-12-09,8,3
2021-12-10,36,6
2021-12-11,2,1
2021-12-12,4,2
2021-12-13,7,3
2021-12-14,2,2
2021-12-15,121,7
2021-12-17,47,5
2021-12-18,3,2
2021-12-20,5,3
2021-12-21,9,4
2021-12-22,3,3
2021-12-23,2,1
2021-12-24,3,2
2021-12-25,1,1
