_date,total_views,unique_views
2021-10-21,3,2
2021-10-22,34,3
2021-10-23,3,1
2021-10-24,25,2
2021-10-25,97,6
2021-10-26,59,2
2021-10-27,28,5
2021-10-28,12,4
2021-10-29,9,4
2021-10-30,5,2
2021-11-01,15,7
2021-11-02,18,3
2021-11-03,16,7
2021-11-04,7,5
2021-11-05,2,2
2021-11-07,6,2
2021-11-08,4,3
2021-11-09,28,6
2021-11-10,19,7
2021-11-11,42,7
2021-11-12,4,2
2021-11-13,2,1
2021-11-15,42,15
2021-11-16,12,11
2021-11-18,4,4
2021-11-19,1,1
2021-11-20,6,5
2021-11-21,6,4
2021-11-22,6,5
2021-11-23,10,5
2021-11-24,5,5
2021-11-25,1,1
2021-11-26,3,3
2021-11-27,1,1
2021-11-29,7,4
2021-11-30,11,6
2021-12-01,2,2
2021-12-02,4,4
2021-12-03,1,1
2021-12-05,1,1
2021-12-06,2,2
2021-12-07,73,7
2021-12-08,12,5
2021-12-09,8,3
2021-12-10,36,6
2021-12-11,2,1
2021-12-12,4,2
2021-12-13,7,3
2021-12-14,2,2
2021-12-15,121,7
2021-12-17,47,5
2021-12-18,3,2
2021-12-20,5,3
2021-12-21,9,4
2021-12-22,3,3
2021-12-23,2,1
2021-12-24,3,2
2021-12-25,1,1
2021-12-27,5,1
2021-12-29,1,1
2021-12-30,3,3
2021-12-31,1,1
2022-01-01,2,2
2022-01-03,25,3
2022-01-04,5,2
2022-01-06,1,1
2022-01-07,1,1
2022-01-08,4,2
2022-01-09,1,1
2022-01-10,25,9
2022-01-11,1,1
2022-01-12,10,1
2022-01-13,11,4
2022-01-16,7,1
2022-01-17,34,4
2022-01-18,4,4
2022-01-19,1,1
2022-01-20,43,6
2022-01-21,20,3
2022-01-23,10,4
2022-01-24,11,1
2022-01-25,39,3
2022-01-26,5,2
2022-01-27,39,4
2022-01-28,19,5
2022-01-29,2,2
2022-01-30,17,1
2022-01-31,1,1
2022-02-01,3,2
2022-02-02,4,3
2022-02-03,1,1
2022-02-04,33,3
2022-02-05,1,1
2022-02-06,3,2
2022-02-07,19,6
2022-02-08,5,4
2022-02-09,14,2
2022-02-11,107,5
2022-02-12,9,4
2022-02-13,5,2
2022-02-14,23,7
2022-02-15,8,5
2022-02-16,26,7
2022-02-17,20,7
2022-02-18,5,4
2022-02-19,28,4
2022-02-21,8,7
2022-02-22,6,3
2022-02-23,19,1
2022-02-24,9,5
2022-02-25,9,7
2022-02-26,2,1
2022-02-28,2,2
2022-03-01,11,4
2022-03-02,5,1
2022-03-03,4,4
2022-03-04,32,5
2022-03-05,3,2
2022-03-07,16,2
2022-03-08,8,5
2022-03-09,12,5
2022-03-10,11,4
2022-03-11,44,9
2022-03-12,2,2
2022-03-14,4,3
2022-03-15,1,1
2022-03-17,8,7
2022-03-18,11,6
2022-03-20,1,1
2022-03-21,6,3
2022-03-22,2,2
2022-03-23,141,3
2022-03-24,38,9
2022-03-25,25,4
2022-03-28,19,4
2022-03-29,8,5
2022-03-30,23,3
2022-03-31,45,10
2022-04-01,34,9
2022-04-02,17,4
2022-04-03,3,3
2022-04-04,8,3
2022-04-05,2,2
2022-04-06,4,2
2022-04-07,49,5
2022-04-08,40,9
2022-04-09,6,4
2022-04-10,6,2
2022-04-11,8,7
2022-04-12,13,7
2022-04-13,1,1
2022-04-14,19,8
2022-04-15,7,4
2022-04-16,22,2
2022-04-17,1,1
2022-04-18,13,9
2022-04-19,10,6
2022-04-20,7,4
2022-04-21,49,31
2022-04-22,50,19
2022-04-23,19,5
2022-04-24,1,1
2022-04-25,4,2
2022-04-26,9,6
2022-04-27,8,3
2022-04-28,11,4
2022-04-29,2,2
2022-04-30,1,1
2022-05-02,32,9
2022-05-03,11,5
2022-05-04,38,3
2022-05-05,69,10
2022-05-06,1,1
2022-05-07,3,2
2022-05-08,14,1
2022-05-09,8,3
2022-05-10,6,2
2022-05-11,5,4
2022-05-12,1,1
2022-05-13,2,2
2022-05-14,1,1
