_date,total_clones,unique_clones
2021-10-23,284,2
2021-10-25,2,1
2021-10-26,98,3
2021-10-27,2,1
2021-10-28,2,2
2021-11-01,1,1
2021-11-03,1,1
2021-11-04,7,3
2021-11-07,1,1
2021-11-08,1,1
2021-11-09,1,1
2021-11-11,1,1
2021-11-14,1,1
2021-11-15,2,2
2021-11-20,2,2
2021-11-21,1,1
2021-11-22,2,2
2021-11-28,1,1
2021-11-29,2,2
2021-11-30,2,2
2021-12-04,1,1
2021-12-05,2,2
2021-12-06,1,1
2021-12-09,1,1
2021-12-12,1,1
2021-12-14,1,1
2021-12-15,2,2
2021-12-16,1,1
2021-12-19,1,1
2021-12-24,1,1
2021-12-27,5,3
2021-12-30,3,2
2022-01-02,1,1
2022-01-03,1,1
2022-01-04,4,1
2022-01-09,1,1
2022-01-10,4,3
2022-01-15,1,1
2022-01-16,1,1
2022-01-23,3,3
2022-01-24,1,1
2022-01-25,1,1
2022-01-27,1,1
2022-01-28,2,2
2022-01-29,1,1
2022-01-30,2,2
2022-01-31,1,1
2022-02-02,1,1
2022-02-04,1,1
2022-02-05,2,1
2022-02-06,3,3
2022-02-07,1,1
2022-02-08,1,1
2022-02-10,3,3
2022-02-11,3,2
2022-02-12,1,1
2022-02-13,1,1
2022-02-14,1,1
2022-02-17,1,1
2022-02-19,2,2
2022-02-20,1,1
2022-02-23,1,1
2022-02-24,1,1
2022-02-27,1,1
2022-02-28,1,1
2022-03-03,2,1
2022-03-06,1,1
2022-03-07,1,1
2022-03-09,1,1
2022-03-11,3,2
2022-03-13,1,1
2022-03-14,1,1
2022-03-15,2,1
2022-03-20,1,1
2022-03-21,1,1
2022-03-22,1,1
2022-03-24,1,1
2022-03-25,1,1
2022-03-26,1,1
2022-03-27,1,1
2022-03-29,1,1
2022-04-01,2,2
2022-04-02,1,1
2022-04-03,1,1
2022-04-04,2,2
2022-04-07,2,2
2022-04-08,1,1
2022-04-10,1,1
2022-04-11,2,2
2022-04-17,1,1
2022-04-18,1,1
2022-04-19,1,1
2022-04-20,1,1
2022-04-22,1,1
2022-04-24,1,1
2022-04-26,1,1
2022-05-01,1,1
2022-05-02,4,3
2022-05-03,1,1
2022-05-04,2,1
2022-05-05,2,2
2022-05-08,1,1
2022-05-12,1,1
2022-05-13,1,1
2022-05-15,1,1
2022-05-16,2,2
2022-05-18,11,4
2022-05-19,1,1
2022-05-20,9,9
2022-05-21,2,1
2022-05-22,2,2
2022-05-23,3,2
2022-05-24,5,3
2022-05-25,4,3
2022-05-26,3,3
2022-05-27,1,1
2022-05-29,2,2
2022-05-30,1,1
2022-05-31,1,1
2022-06-01,2,2
2022-06-02,1,1
2022-06-05,1,1
2022-06-06,1,1
2022-06-08,2,2
2022-06-09,2,2
2022-06-10,12,11
2022-06-12,1,1
2022-06-15,1,1
2022-06-18,2,2
2022-06-19,3,3
2022-06-20,7,6
2022-06-21,6,5
2022-06-22,3,3
2022-06-23,2,2
2022-06-24,2,2
2022-06-26,1,1
2022-06-27,2,2
2022-06-28,3,2
2022-06-29,1,1
2022-07-03,1,1
2022-07-04,3,3
2022-07-06,6,5
2022-07-07,3,3
2022-07-08,1,1
2022-07-09,1,1
2022-07-10,1,1
2022-07-11,8,8
2022-07-12,1,1
2022-07-13,2,2
2022-07-15,3,3
2022-07-17,1,1
2022-07-21,1,1
2022-07-23,1,1
2022-07-24,1,1
2022-07-25,5,5
2022-07-26,2,2
2022-07-27,1,1
2022-07-31,1,1
2022-08-01,2,2
2022-08-06,2,1
2022-08-07,1,1
2022-08-08,1,1
2022-08-09,1,1
2022-08-11,1,1
2022-08-12,4,3
2022-08-14,1,1
2022-08-15,1,1
2022-08-20,1,1
2022-08-21,1,1
2022-08-25,1,1
2022-08-26,1,1
2022-08-28,2,2
2022-08-29,1,1
2022-08-30,2,2
2022-09-01,2,2
2022-09-04,1,1
2022-09-05,1,1
2022-09-06,2,2
2022-09-07,2,2
2022-09-11,2,2
2022-09-17,1,1
2022-09-18,1,1
2022-09-20,3,2
2022-09-21,1,1
2022-09-23,2,1
2022-09-24,1,1
2022-09-26,15,1
2022-09-27,2,2
2022-09-28,1,1
2022-09-29,2,2
2022-09-30,1,1
2022-10-02,1,1
2022-10-03,1,1
2022-10-05,1,1
2022-10-07,2,2
2022-10-08,1,1
2022-10-10,1,1
2022-10-12,1,1
2022-10-13,2,2
2022-10-14,4,4
2022-10-15,4,2
2022-10-17,7,5
2022-10-18,2,2
2022-10-19,6,2
2022-10-20,63,3
2022-10-21,5,3
2022-10-22,2,2
2022-10-23,70,11
